Model,Strategy,Dimension,Max Length,Recall@50,Recall@100,Recall@200,nDCG@10,nDCG@20,nDCG@50,QPS
Matryoska,Dense Only,768,256,0.5932467090864454,0.6962797198423283,0.7760975673441542,0.4139753727529992,0.4496698655020519,0.5080450427455452,33.01
Matryoska,Dense Only,512,256,0.5904620231260226,0.6932444746693822,0.773866422875861,0.4105310867741528,0.4454659110645419,0.5041494673271294,49.34
Matryoska,Dense Only,256,256,0.5826386837795139,0.685530749162264,0.7677580372790047,0.40362668524548473,0.43812935870261704,0.4967407415620947,100.33
Matryoska,Dense Only,128,256,0.5699540761320119,0.673857712921752,0.757599271659765,0.3916475946504901,0.42606892897016274,0.4845350322794973,192.79
Matryoska,Dense Only,64,256,0.5507238750513996,0.653571146783942,0.7404380453297144,0.3733054017273114,0.4071800755083301,0.46555656643047827,366.96
Matryoska,Dense + BM25,768,256,0.6143725879962595,0.7192185742475632,0.8054335337495256,0.4337045140725847,0.470442837712571,0.5297801381095878,28.45
Matryoska,Dense + BM25,512,256,0.6121369208161949,0.7166789849250834,0.8041094627738955,0.43159032718309415,0.46819661992202616,0.5275754512734301,40.23
Matryoska,Dense + BM25,256,256,0.6065683140100953,0.7114123906416558,0.8004582581085342,0.42708991717564837,0.4629843161693223,0.5225137207146343,65.61
Matryoska,Dense + BM25,128,256,0.596021028357429,0.7028614125162397,0.7937872042203165,0.4201304573737014,0.4547834556177388,0.5138420655060357,97.33
Matryoska,Dense + BM25,64,256,0.5787174541221608,0.688054103444827,0.7835669135210592,0.40857064280678773,0.44202551751502533,0.5001839663369633,138.62
Matryoska,Dense + SPLADE,768,256,0.63293007606971,0.7436555009228182,0.8210095803710011,0.4561900324419296,0.49248842158711426,0.5525054159665759,19.42
Matryoska,Dense + SPLADE,512,256,0.6310881861522583,0.7428055184930895,0.8196808700428092,0.4533443366706481,0.48976761619265596,0.5499313339191153,28.71
Matryoska,Dense + SPLADE,256,256,0.6273415053560095,0.7395861147975852,0.817115735750288,0.45078029473418857,0.48618934335244485,0.5463410049465545,47.43
Matryoska,Dense + SPLADE,128,256,0.6191821006905781,0.7342400790955613,0.8139320288685632,0.44420836559648097,0.4788815759951652,0.539178799859854,66.62
Matryoska,Dense + SPLADE,64,256,0.6056916324974403,0.7254255409688533,0.8080286751973009,0.43231172946638574,0.46685772314220486,0.526642410130908,76.9
Matryoska,Dense + BM25 + SPLADE,768,256,0.6528232275739466,0.7532757258357543,0.8250893575077036,0.4648553593159048,0.5029022502770453,0.5662546212425663,19.14
Matryoska,Dense + BM25 + SPLADE,512,256,0.6518052355036115,0.7528440024535217,0.8241242696317204,0.4631996749072048,0.5014582961462423,0.5648686631262508,27.38
Matryoska,Dense + BM25 + SPLADE,256,256,0.6496344122933203,0.7509395869451957,0.8219967542694858,0.46089171593072426,0.4988072662056218,0.5627763200217302,42.79
Matryoska,Dense + BM25 + SPLADE,128,256,0.6450131970864319,0.7470622209877713,0.8191445939836612,0.45608599216549195,0.49390865515671595,0.5578967861321067,61.05
Matryoska,Dense + BM25 + SPLADE,64,256,0.6360123001815301,0.7406437543602542,0.8148043350512272,0.44696373189589866,0.48462066243035884,0.5492834351728232,72.01
